pitch_type,bat_order,pitch_rl,bat_rl,inning,balls,strikes,out,on_1b,on_2b,on_3b,score_diff,era,rbi,avg,hr,pitcher_at_home,pitcher_wins,pitcher_losses,batter_wins,batter_losses,prev_pitch_type0,prev_pitch_typeChangeUp,prev_pitch_typeFastball,prev_pitch_typeKnuckleBall,prev_pitch_typeSlider.Cutter,prevprev_pitch_type0,prevprev_pitch_typeChangeUp,prevprev_pitch_typeFastball,prevprev_pitch_typeKnuckleBall,prevprev_pitch_typeSlider.Cutter
KnuckleBall,8,1,1,4,1,2,1,0,0,0,0,3.29,19,0.188,2,1,12,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,4,1,0,1,2,1,2,0,0,0,0,3.68,49,0.227,19,-1,9,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,7,1,1,3,1,0,2,1,1,0,-2,3.38,3,0.241,1,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,1,1,0,7,1,0,2,1,0,1,3,4.82,28,0.287,6,-1,5,4,0,0,0,1,0,0,0,1,0,0,0,0
Fastball,2,1,0,5,0,0,2,1,0,0,0,4.11,28,0.274,7,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,5,1,1,4,0,0,2,0,0,0,2,3.97,14,0.232,1,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,8,1,1,5,1,1,1,0,0,0,2,3.55,10,0.188,0,1,10,5,0,0,0,0,0,1,0,0,0,1,0,0
Slider/Cutter,8,1,0,4,0,1,2,0,0,0,0,4.03,5,0.31,0,-1,7,5,0,0,0,1,0,0,0,1,0,0,0,0
ChangeUp,4,1,1,4,0,0,0,0,0,0,-1,4.91,54,0.257,20,1,5,3,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,8,1,1,5,0,1,1,0,0,0,2,3.55,10,0.188,0,1,10,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,1,1,0,6,0,0,1,0,0,0,3,3.68,31,0.247,5,-1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
